iter	Passed	Remaining
0	105	105688
1	106	53047
2	107	35571
3	107	26831
4	108	21583
5	108	18031
6	109	15534
7	110	13660
8	110	12208
9	111	11019
10	111	10064
11	112	9274
12	113	8616
13	114	8042
14	114	7549
15	115	7118
16	116	6732
17	116	6371
18	117	6067
19	118	5811
20	119	5565
21	120	5365
22	121	5156
23	121	4949
24	122	4774
25	122	4599
26	123	4450
27	124	4309
28	124	4178
29	125	4058
30	125	3936
31	138	4180
32	138	4069
33	139	3970
34	140	3872
35	141	3784
36	142	3700
37	143	3621
38	143	3534
39	144	3463
40	145	3395
41	145	3318
42	146	3263
43	147	3203
44	148	3147
45	149	3094
46	150	3042
47	150	2993
48	151	2944
49	152	2897
50	153	2853
51	154	2810
52	155	2785
53	157	2752
54	158	2720
55	159	2688
56	160	2660
57	161	2618
58	162	2584
59	162	2545
60	163	2513
61	164	2483
62	164	2452
63	165	2424
64	166	2391
65	166	2357
66	167	2331
67	168	2305
68	169	2282
69	169	2258
70	170	2234
71	171	2211
72	172	2187
73	172	2164
74	173	2141
75	174	2118
76	175	2103
77	176	2081
78	176	2057
79	177	2039
80	179	2034
81	180	2016
82	183	2024
83	184	2007
84	184	1986
85	185	1969
86	186	1953
87	186	1937
88	187	1921
89	188	1906
90	189	1894
91	190	1879
92	191	1863
93	192	1852
94	192	1834
95	193	1819
96	193	1804
97	194	1788
98	194	1774
99	195	1761
100	196	1748
101	197	1735
102	197	1722
103	198	1707
104	198	1694
105	199	1680
106	199	1668
107	201	1663
108	202	1652
109	202	1642
110	203	1629
111	204	1618
112	205	1610
113	206	1602
114	207	1595
115	208	1588
116	209	1578
117	210	1570
118	210	1561
119	211	1553
120	212	1544
121	213	1535
122	214	1527
123	215	1518
124	215	1509
125	216	1501
126	217	1492
127	217	1483
128	218	1475
129	219	1468
130	220	1460
131	220	1452
132	221	1444
133	222	1436
134	222	1428
135	223	1420
136	224	1412
137	224	1404
138	226	1405
139	228	1404
140	229	1400
141	231	1396
142	232	1392
143	233	1388
144	234	1384
145	236	1380
146	237	1376
147	238	1373
148	239	1369
149	240	1365
150	242	1361
151	243	1357
152	244	1354
153	245	1350
154	247	1346
155	248	1343
156	249	1339
157	250	1336
158	252	1333
159	253	1330
160	254	1326
161	255	1323
162	257	1319
163	258	1317
164	259	1312
165	260	1307
166	261	1302
167	262	1297
168	262	1292
169	263	1287
170	264	1282
171	265	1278
172	266	1272
173	267	1267
174	267	1262
175	268	1256
176	269	1251
177	269	1246
178	270	1240
179	271	1235
180	271	1230
181	272	1225
182	273	1220
183	274	1215
184	274	1210
185	275	1205
186	276	1200
187	276	1196
188	277	1191
189	278	1186
190	278	1181
191	279	1177
192	280	1172
193	281	1167
194	281	1163
195	282	1160
196	283	1155
197	284	1151
198	285	1147
199	285	1142
200	286	1138
201	287	1134
202	287	1129
203	288	1125
204	289	1121
205	289	1117
206	290	1113
207	291	1109
208	291	1104
209	292	1100
210	293	1096
211	294	1092
212	294	1088
213	295	1084
214	296	1081
215	296	1077
216	297	1073
217	298	1070
218	299	1066
219	299	1063
220	300	1059
221	301	1055
222	301	1052
223	303	1050
224	303	1046
225	304	1043
226	305	1039
227	305	1036
228	306	1032
229	307	1029
230	308	1026
231	308	1022
232	309	1019
233	310	1015
234	311	1013
235	312	1012
236	313	1009
237	315	1009
238	315	1005
239	316	1002
240	317	999
241	318	996
242	318	992
243	319	989
244	320	986
245	320	983
246	321	981
247	322	977
248	323	974
249	323	971
250	324	968
251	325	965
252	325	962
253	326	958
254	327	955
255	328	953
256	329	953
257	330	951
258	331	949
259	332	946
260	333	943
261	334	941
262	335	939
263	335	936
264	336	934
265	337	931
266	338	929
267	339	926
268	340	925
269	341	922
270	342	920
271	343	918
272	344	917
273	345	915
274	346	914
275	348	913
276	349	911
277	350	910
278	351	909
279	353	907
280	354	906
281	355	905
282	356	903
283	357	902
284	358	900
285	359	897
286	360	895
287	361	893
288	362	891
289	363	888
290	363	886
291	364	884
292	365	882
293	366	880
294	367	877
295	368	875
296	368	873
297	369	871
298	370	868
299	371	866
300	372	864
301	373	862
302	373	859
303	374	857
304	375	855
305	375	852
306	376	850
307	377	847
308	378	845
309	378	843
310	379	841
311	380	838
312	380	836
313	381	834
314	382	831
315	383	829
316	383	827
317	384	824
318	385	822
319	388	826
320	389	824
321	390	822
322	391	820
323	392	818
324	392	816
325	393	813
326	394	811
327	395	809
328	396	808
329	396	806
330	397	803
331	398	801
332	399	799
333	399	797
334	400	795
335	401	792
336	401	790
337	402	788
338	403	786
339	404	785
340	405	782
341	405	781
342	406	778
343	407	776
344	408	774
345	408	772
346	409	770
347	410	768
348	410	766
349	411	764
350	412	762
351	412	760
352	413	758
353	414	756
354	415	754
355	415	751
356	417	751
357	417	749
358	418	747
359	419	745
360	419	743
361	420	741
362	421	739
363	422	737
364	422	735
365	423	733
366	424	731
367	424	729
368	425	727
369	426	725
370	426	723
371	427	721
372	428	719
373	428	717
374	429	715
375	431	716
376	432	714
377	433	713
378	434	711
379	435	710
380	436	708
381	436	706
382	437	705
383	438	703
384	439	702
385	440	700
386	441	698
387	442	697
388	442	695
389	443	694
390	444	692
391	445	691
392	446	690
393	448	689
394	449	688
395	450	687
396	452	686
397	453	685
398	454	684
399	455	683
400	456	681
401	457	680
402	458	678
403	458	676
404	459	675
405	460	673
406	461	672
407	462	670
408	462	668
409	463	667
410	464	665
411	465	664
412	466	662
413	467	661
414	467	659
415	468	658
416	470	657
417	471	656
418	472	655
419	473	653
420	474	652
421	475	650
422	476	649
423	476	647
424	477	646
425	478	644
426	479	643
427	480	641
428	481	640
429	481	638
430	482	637
431	483	635
432	484	633
433	484	632
434	485	630
435	486	628
436	487	627
437	488	627
438	489	625
439	490	624
440	491	622
441	492	621
442	493	620
443	493	618
444	494	617
445	495	615
446	496	614
447	497	613
448	498	611
449	499	610
450	500	608
451	501	607
452	502	606
453	503	604
454	503	603
455	504	601
456	505	600
457	505	598
458	506	597
459	507	595
460	508	594
461	508	592
462	509	590
463	510	589
464	510	587
465	511	586
466	512	584
467	512	583
468	513	581
469	514	580
470	515	578
471	515	577
472	516	575
473	517	574
474	519	573
475	519	572
476	520	570
477	521	569
478	521	567
479	522	566
480	523	564
481	523	563
482	524	561
483	526	561
484	527	560
485	528	558
486	529	557
487	530	556
488	530	554
489	532	553
490	532	552
491	534	551
492	535	550
493	536	549
494	536	547
495	537	546
496	538	545
497	539	543
498	540	542
499	541	541
500	541	539
501	542	538
502	543	537
503	544	536
504	545	534
505	546	533
506	548	532
507	549	532
508	550	531
509	551	530
510	553	529
511	554	528
512	555	527
513	556	526
514	557	524
515	560	525
516	561	524
517	563	524
518	565	524
519	568	524
520	570	524
521	572	524
522	574	523
523	578	525
524	580	524
525	592	533
526	593	533
527	595	532
528	597	531
529	599	531
530	600	530
531	601	529
532	602	528
533	603	526
534	604	525
535	605	523
536	606	522
537	606	521
538	607	519
539	608	518
540	609	517
541	610	515
542	617	519
543	618	518
544	620	517
545	621	516
546	622	515
547	624	514
548	625	514
549	627	513
550	628	511
551	628	510
552	629	508
553	630	507
554	631	505
555	631	504
556	632	503
557	633	501
558	634	500
559	635	499
560	636	498
561	637	496
562	638	495
563	638	493
564	639	492
565	640	490
566	640	489
567	641	487
568	643	487
569	644	485
570	644	484
571	645	482
572	646	481
573	646	480
574	647	478
575	648	477
576	648	475
577	649	474
